%time,field.data
1544451445713533640,0.0
1544451445762623787,0.0
1544451445813252449,0.0
1544451445864221096,0.0
1544451445915011168,0.0
1544451445965133190,0.0
1544451446015655041,0.0
1544451446066474915,0.0
1544451446119271517,0.0
1544451446169346094,0.0
1544451446222811460,0.0
1544451446275554657,0.0
1544451446321583748,0.0
1544451446372320890,0.0
1544451446423341274,0.0
1544451446474958658,0.0
1544451446525582075,0.0
1544451446576029539,0.0
1544451446626205444,0.0
1544451446678184032,0.0
1544451446729513407,0.0
1544451446779847383,0.0
1544451446830613613,0.0
1544451446881474018,0.0
1544451446931581020,0.0
1544451446982012272,0.0
